w,频数,左信息熵,右信息熵,右右信息熵,凝聚度
疫情,296,2.2878646241704557,2.2464790981006226,4.534343722271078,538.290935589957
局勢,261,1.4383110474517355,2.2860897466386114,3.724400794090347,533.4662169513655
巨額,103,1.6797348750214316,1.4791008513097823,3.1588357263312137,525.9881599613385
台灣,828,2.438721928565,2.8357907735889882,5.274512702153988,524.5587484777518
邊境,72,1.657903030910508,1.607868850804763,3.265771881715271,523.5102567410656
穩定,218,1.6296922544298154,1.8456698078103473,3.475362062240163,521.2736504165076
襲擊,305,2.627982587694585,1.804168781839851,4.432151369534436,515.0103867050176
技術,395,3.113456581434022,2.7948364258240215,5.9082930072580435,508.9803578607617
分歧,162,1.5490549608784219,1.6846787883546517,3.2337337492330738,508.95965808789373
遊客,138,1.7864601339647646,2.13413962088244,3.9205997548472045,507.8563406033695
降低,49,1.4972518068846992,1.4972518068846992,2.9945036137693983,505.39297533895586
招致,63,1.591742395012575,1.591742395012575,3.18348479002515,498.7491396062089
投資,494,2.497912456793159,1.710130072206177,4.208042528999336,496.3485784919654
限制,227,2.2939036961841897,1.7966904523894318,4.090594148573621,489.91988562383517
提供,455,2.954408658729651,2.3155775934889866,5.269986252218638,486.0754566765447
問題,796,2.799267841095403,2.209131772694061,5.008399613789464,480.7454088868092
城市,229,1.9887709011633585,2.9732456203514355,4.962016521514794,479.2064855498484
警察,57,2.552592255134674,2.599178181947084,5.151770437081758,478.802831946342
科技,299,2.4334360931484076,2.2490409501978483,4.682477043346256,477.16272747866805
照片,80,1.69097306166311,1.8765944500414664,3.5675675117045764,473.7486208647835
災難,82,1.7856486333083812,1.5320582013962063,3.3177068347045875,469.19940435900907
遭遇,53,1.4365300372920018,1.5045009989450893,2.9410310362370913,462.55341334365727
職業病,28,2.7380783554095363,2.392144231748605,5.130222587158141,455.7416125150421
語言,119,1.3784427684106955,1.6307465113711264,3.009189279781822,452.277576711251
間諜,112,1.7113172865455262,1.6674804620939878,3.378797748639514,448.9506265040245
進一步,156,2.0988276425946903,2.070869084297464,4.1696967268921545,446.9052738594485
巨頭,119,1.5531592816322477,1.8915786429035408,3.4447379245357883,438.52589363557104
感染,52,1.376892588316402,1.376892588316402,2.753785176632804,437.465492362044
開始,347,2.1882314739885835,2.6148731260157163,4.8031046000043,435.90474704470654
服務,133,1.732478853651949,1.8053574035186524,3.5378362571706017,433.7060803317421
工傷保險,11,2.0982737395252498,1.3896811919839047,3.4879549315091545,433.5179487179487
如何,518,2.7211417261840176,3.2327358647325286,5.953877590916546,428.63580346611457
預計,162,1.8713657107107378,1.4363955101284525,3.30776122083919,423.2318996221925
競爭,333,1.742057309651883,2.3422226129302923,4.0842799225821755,421.7230496115233
困境,126,1.3606036644935842,1.4653759536664108,2.825979618159995,411.81670033539854
面臨,387,2.7714700079621943,2.096373156853529,4.867843164815723,410.57557945266717
協議,53,1.7182362674635545,1.5188031615422046,3.237039429005759,409.67475883509354
保護,160,2.063256232133122,2.2376726053054035,4.3009288374385255,406.8203624332656
世界,674,3.0214929806212827,3.0026863740564056,6.024179354677688,400.909541232761
危害,115,1.3023316037962076,1.5634111291204795,2.8657427329166874,400.0798378550778
吸引,226,1.7528850995970282,1.7830203834834673,3.5359054830804952,398.9712233220566
用人單位,5,1.3321790402101223,1.3321790402101223,2.6643580804202447,394.7974314068885
影響,611,2.962046463565076,2.167314835638612,5.129361299203688,392.6422270113305
診斷,9,1.303092403761719,1.8891591637540215,3.192251567515741,390.66700898587936
公寓,45,1.586963134642437,1.586963134642437,3.173926269284874,388.6712643678161
疫情期間,56,1.3644611211111422,1.595388983074385,2.959850104185527,386.54494978362044
數千,117,1.932458979548029,1.8990868702803125,3.8315458498283412,382.13897421037376
維吾爾族,11,1.9722469794234416,1.9722469794234416,3.9444939588468833,380.24780208546315
總統,170,2.1283792097661167,2.2072415564565726,4.335620766222689,379.9069472348525
努力,236,1.9379573534470274,2.463457101873371,4.401414455320398,378.7595411333078
採取,100,2.031280746820822,1.534383363429363,3.565664110250185,377.38232750202286
俄羅斯,392,2.59718638435611,2.4873278065649216,5.084514190921031,376.9721293199554
哈馬斯,93,1.8996911563461059,1.6772379337171743,3.57692909006328,376.9721293199554
亞裔,106,2.002710353802196,1.8337681064722982,3.836478460274494,370.8716760134925
身份,129,1.8409433736879246,2.035472061991555,3.8764154356794798,370.6947332639317
意味著,197,2.133891530796154,2.180976256232882,4.314867787029035,366.44287667125997
標準,84,1.5469217187912236,1.3277665642626408,2.8746882830538647,366.409907120743
觀眾,154,1.6762380404476942,1.4272825566583087,3.103520597106003,365.9207083128382
自己,668,3.613235491725534,2.620652402152549,6.233887893878083,365.60752903549
某種,61,1.3533464197422387,1.3533464197422387,2.7066928394844774,360.2931703056768
尋求,95,1.8301947536789875,1.8301947536789875,3.660389507357975,356.5435222952912
幾乎,170,1.6788386305495349,1.9057387691412098,3.584577399690745,353.47439232107826
週四,139,1.5384785446701637,1.4684419910103041,3.006920535680468,345.7657721280603
拜登政府,311,1.670508636405752,1.7764527664647265,3.4469614028704783,345.4614511559151
抗議,268,3.241530654348901,2.035825912130298,5.277356566479199,344.01406082140403
公司,803,2.53781246756181,3.5201712717023876,6.0579837392641975,342.2182294817504
企業,375,2.0764738484288854,2.6430174228859395,4.7194912713148245,341.3113695090439
持續,394,2.5363123773238727,2.4766524646621813,5.012964841986054,340.8517819223782
歐洲,171,1.3647924253048094,2.1219434173951144,3.4867358426999235,339.91213946229067
價格,172,2.048060859563308,1.513307438702093,3.561368298265401,337.3095510814816
陷入,289,2.6906797792076698,2.541161920209324,5.231841699416994,331.8120163658897
工廠,203,1.4984920815825233,1.881042147396181,3.379534228978704,329.6035340439834
獲得,374,3.0806043639639866,2.7549821938559687,5.835586557819955,327.72514447122234
印度,447,1.3260373272585317,2.7335455489201776,4.059582876178709,326.42765698292175
支持,425,2.477647116685512,2.475481633274293,4.953128749959805,324.32032316667227
軍隊,80,1.515824036410901,1.6346691553644144,3.1504931917753156,323.69893502453033
全球,629,2.9027199305501656,3.500700466891972,6.4034203974421375,322.20582505446026
非洲,309,2.2636039834865773,1.93014470790679,4.193748691393367,319.64884865653653
經濟,1120,2.8080011097515527,3.2285623371088223,6.0365634468603755,313.68835194070823
將軍澳,6,1.7917594692280547,1.3296613488547582,3.1214208180828127,313.67717996289423
指控,210,2.2405549910278313,2.3724069732952757,4.612961964323107,312.93417211100945
華裔,111,1.6057711092598799,2.151998902483424,3.757770011743304,311.6715713953566
關係,710,2.714778443990823,2.7301360789162894,5.444914522907112,310.3662230380908
關鍵,140,1.877439434040082,1.877439434040082,3.754878868080164,305.99486778403326
解決,152,1.712755601275488,1.857669589462831,3.570425190738319,303.65337193158655
設備,152,2.2717903791727427,1.9781186640343988,4.249909043207142,301.8531136488435
媒體,166,1.772403791204775,1.8546866659307815,3.6270904571355564,301.48051829472973
那麼,34,1.3101432003616609,1.4833819359032279,2.793525136264889,300.79656737699986
兩國之間,99,1.5005315690358978,1.5005315690358978,3.0010631380717956,299.9879561258872
製造,223,1.8477505749632206,1.5783142499747762,3.426064824937997,299.9566888102152
金豆,7,1.5498260458782016,1.7478680974667573,3.297694143344959,297.1015438684574
效果,59,1.3346408135614678,1.3346408135614678,2.6692816271229356,296.91772830098824
外交,427,2.516654432118943,2.355625518603625,4.872279950722568,296.6132784975769
最佳,136,1.8044566109605915,1.6975483303832162,3.5020049413438077,296.4072446019981
打破,65,1.349472737100806,1.3192465415666255,2.6687192786674316,293.6689647800759
撤回,5,1.6094379124341005,1.3321790402101223,2.941616952644223,293.52777777777777
政府,1225,2.598674043457293,3.544868366790269,6.143542410247562,288.4612076784844
加薩,203,1.970583914596706,1.9577363036391613,3.928320218235867,287.4880407423074
導致,390,2.304884363501746,3.0470881747489145,5.35197253825066,287.3745042492918
再次,175,2.426056902239984,2.4633143506438477,4.889371252883832,286.72655561046986
塵肺病患者,8,1.9061547465398496,2.0794415416798357,3.9855962882196856,285.4439168513243
傳統,161,2.093756022861529,1.8685646253901989,3.962320648251728,284.92795310619147
戰略,176,2.208026388368628,1.970307257631835,4.178333646000463,283.9891965146353
新疆,109,1.79421022476443,2.274125258448048,4.068335483212478,283.79689467058336
抗議活動,59,2.229262689359614,2.07156374043368,4.300826429793294,283.5589098532495
種族,140,2.492312698744113,2.351091698540518,4.8434043972846315,283.18573906801464
獨立,97,1.8930755860369348,1.6983824204706113,3.591458006507546,283.17334024000695
項目,336,2.5222644325002817,2.2166474514719825,4.738911883972264,281.20918352193416
居民,195,1.5882478106077564,2.1067218748616985,3.694969685469455,280.7273408462937
機構,392,2.5226572316517855,3.1927730960806766,5.715430327732462,280.68516832328913
動盪,96,1.9179881236493261,1.6002752687949822,3.5182633924443083,280.6356221228036
地緣政治,86,1.9117632332313348,1.7597424527861378,3.671505686017473,278.88164948453607
女性,424,2.761309125533792,2.788383462147081,5.549692587680873,276.08907375312924
塑造,112,1.694077327994127,1.4151491352989058,3.109226463293033,273.9107146085944
該應用,69,1.5991112470215352,1.3552664401341235,2.9543776871556586,272.62348830959417
言論,132,1.6577960352315735,1.300027215962912,2.9578232511944855,271.89279013669255
數據,173,1.7591793231010873,1.9052239641423392,3.6644032872434265,271.86035876940235
湧入,72,1.499561351617766,1.3084389917016188,2.8080003433193848,271.4199331103679
原因,172,1.53187409543155,1.4710192445497317,3.0028933399812816,268.234582249525
安全,622,2.595848925061317,2.839342353257284,5.435191278318602,266.95194941348785
新冠,294,1.8427206189496397,1.9518448694928126,3.7945654884424522,263.2059527859668
服裝,66,1.3507742375787262,1.4000292335471274,2.7508034711258533,261.3137872489901
移民,198,2.085892878181301,2.0759480087239632,4.161840886905264,259.5672310119835
關注,293,2.094655508592798,2.0227275350122516,4.11738304360505,258.344611790229
走向,54,1.5753676161851344,1.5753676161851344,3.150735232370269,258.2620982284926
莫言,51,1.5289480822904473,1.5125943140430311,3.0415423963334787,256.7876351290986
文化,419,2.722074039343698,2.3113877524127298,5.033461791756428,256.6653188698796
控制,276,2.562678762061116,2.097289529127966,4.659968291189082,256.26817507825797
需要,205,2.3743872820205008,2.4695729048687554,4.843960186889256,254.93459256889201
仍然,212,2.2104308503852357,1.9723637120706319,4.182794562455868,251.511820996588
整體,96,1.3327739327183643,1.5275286318902737,2.860302564608638,251.46660469439922
西藏,50,1.3838255465925058,1.3838255465925058,2.7676510931850116,249.36321467814133
表示,828,2.930223020916363,1.4516057086086056,4.381828729524969,247.52448053213874
法律,111,1.7707920825131682,2.0427036478639615,3.81349573037713,247.18779800321386
以色列,231,1.8589141360563797,2.592700359426553,4.451614495482933,246.91055129609347
獎項,85,1.5530969605905116,1.3583663455249981,2.9114633061155097,246.74203988427897
報告,139,1.6908591940164117,1.936548574252025,3.6274077682684367,246.18503416325558
事件,207,2.117953003590556,1.6290121555495545,3.7469651591401103,243.4213458528952
旅遊業,73,1.3230379462178303,1.6078929519273968,2.930930898145227,243.24509262908947
角色,75,1.6834739471447566,1.4106820426345301,3.0941559897792867,242.86719816131583
擔心,283,2.329048590999311,2.074135415278406,4.403184006277717,240.64313833967248
火車,75,1.534302881523027,1.6241796334227985,3.1584825149458258,240.33319592318298
設計,225,2.4299942658345253,2.125000212119613,4.554994477954138,240.15075234130128
融入,93,1.4224224239950263,1.4224224239950263,2.8448448479900525,239.0346001824263
主義,394,2.677135369736158,3.0231301431357642,5.700265512871923,238.5764712623918
群體,141,1.8694277175338019,1.6412070165020767,3.510634734035879,238.08795785373647
市場,651,2.6391304599423355,2.0062500712813556,4.645380531223691,235.5584680741779
日益,459,2.937310630214741,2.398774787091089,5.33608541730583,235.45274655258726
官員,494,2.286873489985614,2.5626024509609766,4.84947594094659,234.2384043369189
選舉,167,2.340601467867919,2.240871149300246,4.581472617168165,233.76073385988443
嚴重,371,2.3227695342595736,2.112904672220439,4.435674206480012,231.88460059740333
結果,197,1.8510569216837136,1.8143368343229769,3.6653937560066905,231.7972872344127
目標,230,1.718718829385769,1.7500271002325938,3.468745929618363,230.63568319039655
董事會,65,1.6094379124341005,1.6094379124341005,3.218875824868201,226.79007377598924
質量,153,1.8047441856291124,1.878335358440618,3.6830795440697304,224.94709381195864
食物,248,1.863031271151147,1.974583328912702,3.8376146000638487,221.51413062140924
入侵,162,2.255012513451765,2.2304864542672918,4.485498967719057,220.07021603543348
危機,271,2.4859649047676804,2.0804897117931205,4.566454616560801,219.33962363506674
當局,160,1.8889467337471004,2.3955279356210966,4.284474669368197,217.30222993380892
知道,80,1.6504757252392412,1.8420135040086472,3.492489229247888,217.20801014918663
經濟增長,129,1.5458837019500864,1.5795602250604877,3.125443927010574,216.97461201750892
小說,157,2.1234088850020885,1.4028524828734774,3.526261367875566,215.84858895805294
如今,209,1.6213049467435647,1.9644298853601443,3.585734832103709,215.4446588563816
享受,48,1.5485487101060535,1.5485487101060535,3.097097420212107,214.52434575733542
家庭,159,2.07487427674959,1.5678450448456318,3.6427193215952216,211.63948984411903
礦山,5,1.6094379124341005,1.6094379124341005,3.218875824868201,210.83925676518268
能夠,105,1.8197306348338893,1.8329334382731262,3.6526640731070152,210.63474972191324
取消,207,1.5840888224151306,1.9419734312386545,3.526062253653785,208.3862879564863
數字,77,1.9317005587822895,1.9752200012607521,3.9069205600430417,206.87341490545052
學校,56,1.7430974304916569,1.6186779010949086,3.3617753315865655,205.47501831104356
亞洲,217,2.0650078648463035,2.319303570451355,4.384311435297659,201.5603742384204
消費者,257,1.5000238312708967,2.332537817580691,3.8325616488515877,200.80041960982754
幾乎沒有,52,1.4388551615854883,1.4388551615854883,2.8777103231709766,199.7896602658789
通過,388,2.8422099345657763,2.613858256550111,5.456068191115888,199.41008602608144
改變,125,2.2089024022867774,1.7618701574599036,3.970772559746681,198.97939969118366
罷工,11,1.4142790651247086,1.9722469794234416,3.38652604454815,198.6957264957265
社會,285,2.44708539534972,2.075138780960336,4.522224176310056,198.368811333474
最終,102,1.7317192679236384,2.12325921780712,3.8549784857307583,197.3998454714552
廣告,61,1.3740170028514598,2.2093136141276095,3.5833306169790693,195.81894129262554
大屠殺,6,1.5607104090414063,1.5607104090414063,3.1214208180828127,195.79849449913144
加拿大,198,1.7057098284342136,2.351159236969648,4.056869065403862,195.7984944991314
政治,453,2.789142995235652,3.3306051493937225,6.119748144629375,194.32219613852786
建立,206,2.1976214207341083,2.2024464041561207,4.400067824890229,193.90556042701854
增長,359,2.219389073637592,2.0110911548258192,4.230480228463412,193.7392109265652
監視,73,1.919034960599432,1.7990660348838523,3.718100995483284,193.2659896807936
經歷,283,1.696853876977364,2.0778967380333815,3.7747506150107455,191.90726981395807
起訴,95,1.5337608092381507,1.6622133452759265,3.195974154514077,191.73794836441556
累計,9,1.6769877743224173,1.5810937501718239,3.258081524494241,190.6588146848766
政策,393,2.563803602154982,2.2965867327735463,4.860390334928528,189.9959710568041
新聞,172,1.8455188925115364,1.4637164297001513,3.3092353222116877,189.93410849548766
使用,293,2.78165443359305,2.7087028903652937,5.490357323958344,186.87503619098277
電影,408,2.3595025401432985,2.582914757725657,4.942417297868955,186.19661192627865
